# covered_009
timestamp: 2026-05-16T01:33:40.344339
elapsed_seconds: 9.32

## Truth
  expected_stream: stream_2_perspective_gap
  expected_broad_jp_coverage: reported
  expected_angle_jp_coverage: unreported
  expected_tier: tier_1_newspaper
  in_golden_set: True

## Predicted
  stream: stream_1_silence_gap
  broad_jp_coverage: False
  angle_jp_coverage: None
  broad_matched_tier: None
  angle_matched_tier: None
  error_message: None
  angle_query_fallback_reason: None

## Queries
  broad_query: インド・パキスタン カシミール 緊張 (4 月 22 日テロ攻撃 + 5 月 7-10 日 Operation Sindoor) 日本 報道
  angle_query: None

## Results
  broad: {"urls": ["https://jetro.go.jp", "https://emb-japan.go.jp", "https://kyodo.co.jp", "https://mofa.go.jp", "https://mofa.go.jp", "https://tokutenryoko.com", "https://mofa.go.jp", "https://youtube.com", "https://youtube.com", "https://emb-japan.go.jp", "https://mofa.go.jp", "https://youtube.com", "https://mofa.go.jp"], "matched_urls": [], "excluded_urls": ["https://youtube.com", "https://youtube.com", "https://youtube.com"], "matched_tier": null}
  angle: None

## Hits
  jp_media_hits_broad: []
  jp_media_hits_angle: []
  excluded_count_broad: 3
  excluded_count_angle: 0
