# covered_008
timestamp: 2026-05-16T01:33:31.022395
elapsed_seconds: 5.10

## Truth
  expected_stream: stream_2_perspective_gap
  expected_broad_jp_coverage: reported
  expected_angle_jp_coverage: unreported
  expected_tier: tier_1_newspaper
  in_golden_set: True

## Predicted
  stream: stream_1_silence_gap
  broad_jp_coverage: False
  angle_jp_coverage: None
  broad_matched_tier: None
  angle_matched_tier: None
  error_message: None
  angle_query_fallback_reason: None

## Queries
  broad_query: マリ 軍事政権に反政府勢力が一斉攻撃 暫定国防相死亡 日本 報道
  angle_query: None

## Results
  broad: {"urls": ["https://cube-soft.jp", "https://youtube.com", "https://novaist.jp", "https://tufs.ac.jp"], "matched_urls": [], "excluded_urls": ["https://youtube.com"], "matched_tier": null}
  angle: None

## Hits
  jp_media_hits_broad: []
  jp_media_hits_angle: []
  excluded_count_broad: 1
  excluded_count_angle: 0
